stories_id,publish_date,title,url,language,ap_syndicated,themes,media_id,media_name,media_url,css
1574992251,2020-02-10T00:30:35Z,'Hair Love' started with a Kickstarter,http://rss.cnn.com/~r/rss/cnn_topstories/~3/gY0-VZDRIFU/index.html,en,FALSE,NA,1095,CNN,http://www.cnn.com/,#body-text .l-container
1497003929,2020-01-16T17:11:24Z,Rep. Ayanna Pressley reveals she has alopecia: 'It's important I'm transparent about this new normal',http://rss.cnn.com/~r/rss/cnn_latest/~3/TJVJTmNJhQk/index.html,en,FALSE,NA,1095,CNN,http://www.cnn.com/,#body-text .l-container
1508112986,2020-01-28T16:41:57Z,Mother says son with long hair denied admission to 2 schools,https://www.cbsnews.com/news/uk-farouk-james-cant-find-school-that-will-allow-his-long-natural-hair-mother-fights-hair-discrimination-policy/,en,FALSE,NA,1752,CBS News,http://www.cbsnews.com/,.content__body
1528506444,2020-02-22T15:08:48Z,"If the governor signs this bill, Virginia will become the fourth state to ban hair discrimination",http://rss.cnn.com/~r/rss/cnn_latest/~3/adMcdnreuPI/index.html,en,FALSE,NA,1095,CNN,http://www.cnn.com/,#body-text .l-container
1510909098,2020-01-31T14:04:32Z,"Teen suspended for dreadlocks invited to Oscars by ""Hair Love"" team",http://feeds.cbsnews.com/~r/CBSNewsMain/~3/oXZYXPI2Rpw/,en,FALSE,NA,1752,CBS News,http://www.cbsnews.com/,.content__body
1497068881,2020-01-16T19:28:39Z,Rep. Ayanna Pressley goes public with alopecia and baldness,https://www.washingtonpost.com/entertainment/celebrities/rep-ayanna-pressley-goes-public-with-alopecia-and-baldness/2020/01/16/4e6851b8-38c0-11ea-a1ff-c48c1d59a4a1_story.html,en,TRUE,NA,2,Washington Post,http://washingtonpost.com,.pad-right-lg-lg
1516593863,2020-02-09T21:20:07Z,'Hair Love' went from a Kickstarter to an Oscar winner,http://rss.cnn.com/~r/rss/cnn_latest/~3/gY0-VZDRIFU/index.html,en,FALSE,NA,1095,CNN,http://www.cnn.com/,#body-text .l-container
1516936815,2020-02-10T06:23:52Z,"5 things to know for February 10: Oscars, coronavirus, 2020 Dems, White House, Thailand",http://rss.cnn.com/~r/rss/cnn_latest/~3/Xwc3JGrbGhg/index.html,en,FALSE,NA,1095,CNN,http://www.cnn.com/,#body-text .l-container
1514402827,2020-02-06T10:30:39Z,'Hair Love' filmmakers on normalizing black hair and 'girl dads',http://feeds.latimes.com/~r/latimes/entertainment/~3/O9F6XtkxQjM/oscars-2020-hair-love-girl-dads-kobe-bryant-black-hair,en,FALSE,NA,6,LA Times,http://www.latimes.com/,.story
1546367913,2020-03-12T01:26:00Z,"States are banning discrimination against black hairstyles. For some lawmakers, it’s personal.",https://www.washingtonpost.com/local/md-politics/maryland-bill-crown-act-hairstyles-discrimination/2020/03/12/c3b81582-5f05-11ea-b014-4fafa866bb81_story.html?utm_source=rss&utm_medium=referral&utm_campaign=wp_homepage,en,FALSE,NA,2,Washington Post,http://washingtonpost.com,.pad-right-lg-lg
1483908433,2020-01-01T06:41:59Z,"From plastic bags to natural hair, here are the new laws coming in 2020",http://rss.cnn.com/~r/rss/cnn_latest/~3/xKi0NYqZxHU/index.html,en,FALSE,NA,1095,CNN,http://www.cnn.com/,#body-text .l-container
1512250079,2020-02-03T04:45:17Z,The Business Of Black Hair,https://www.huffpost.com/entry/business-black-hair-care_l_5e1f77cac5b63211760d536e,en,FALSE,NA,27502,HuffPost,http://www.huffingtonpost.com/#,.js-entry-content
1517274862,2020-02-10T11:47:45Z,Oscar-winning ‘Hair Love’ director calls attention to efforts to ban race-based hair discrimination,https://www.washingtonpost.com/business/2020/02/10/hair-love-oscars-crown-act/,en,FALSE,NA,2,Washington Post,http://washingtonpost.com,.pad-right-lg-lg
1556283574,2020-03-23T07:00:43Z,"Madam C.J. Walker tackled the politics of black hair. More than a century later, the battle still rages on.",https://www.washingtonpost.com/arts-entertainment/2020/03/23/netflix-self-made-madam-cj-walker-black-hair/?utm_source=rss&utm_medium=referral&utm_campaign=wp_homepage,en,FALSE,NA,2,Washington Post,http://washingtonpost.com,.pad-right-lg-lg
1516592688,2020-02-09T21:22:13Z,‘Hair Love’ Director Matthew A. Cherry Calls For Normalizing Black Hair In Oscars Speech,https://www.huffpost.com/entry/hair-love-2020-oscars-matthew-a-cherry-crown-act_n_5e40b117c5b6f1f57f13a221,en,FALSE,NA,27502,HuffPost,http://www.huffingtonpost.com/#,.js-entry-content
1516611781,2020-02-09T21:57:48Z,"Heartwarming film ""Hair Love"" wins Oscar for best animated short",https://www.cbsnews.com/news/hair-love-wins-oscar-for-best-animated-short-matthew-cherry-2020-02-09/,en,FALSE,NA,1752,CBS News,http://www.cbsnews.com/,.content__body
